,Unnamed: 0,road,km,type,name,length,condition,lat,lon,model_type,id
842,422.0,N1,230.921,Box Culvert,GLAXO BOX CULVERT,8.3,A,22.3797011826666,91.7670476533333,bridge,842
843,,N1,230.5255,link,link,797.0,A,22.3824735326933,91.76477665554665,link,843
844,423.0,N1,230.13,Box Culvert,PAKKA MATA BOX CULVERT,3.0,A,22.38524588272,91.76250565776,bridge,844
845,,N1,229.66649999999998,link,link,938.0,A,22.388981708641097,91.7607969357924,link,845
846,424.0,N1,229.203,PC Girder Bridge,GAMMON BRIDGE,18.0,A,22.3927175345622,91.7590882138248,bridge,846
847,,N1,229.0,link,link,416.0,A,22.394528708794347,91.75867168595124,link,847
848,425.0,N1,228.797,Box Culvert,T. B HOSPITAL GATE BOX CULVERT,3.0,A,22.3963398830265,91.7582551580777,bridge,848
849,,N1,228.413,link,link,772.0,A,22.399677213763248,91.75741463716385,link,849
850,426.0,N1,228.029,Box Culvert,VATIARI CULVERT,5.0,A,22.4030145445,91.75657411625,bridge,850
851,,N1,226.8655,link,link,2347.0,A,22.41252804905,91.752297547725,link,851
852,427.0,N1,225.702,PC Girder Bridge,DHAMAKHALI BRIDGE,35.1,B,22.4220415536,91.7480209792,bridge,852
853,,N1,224.8775,link,link,1687.0,A,22.4285576727459,91.7438368492216,link,853
854,428.0,N1,224.053,RCC Girder Bridge,VATERIE BRIDGE,40.0,A,22.4350737918918,91.7396527192432,bridge,854
855,,N1,223.898,link,link,332.0,A,22.4362886567567,91.73915933329724,link,855
